Rec.#,ION,OX. State,Elec. Config.,Coord. #,Spin State,Crystal Radius,Ionic Radius,NOTES,Z/IR
423,Te+4,4,5s 2,6,,1.11,0.97,,4.12371134
424,Te+6,6,4d 10,4,,0.57,0.43,C,13.95348837
425,Te+6,6,4d 10,6,,0.7,0.56,*,10.71428571
426,Th+4,4,6p 6,6,,1.08,0.94,C,4.255319149
427,Th+4,4,6p 6,8,,1.19,1.05,RC,3.80952381
428,Th+4,4,6p 6,9,,1.23,1.09,*,3.669724771
429,Th+4,4,6p 6,10,,1.27,1.13,E,3.539823009
430,Th+4,4,6p 6,11,,1.32,1.18,C,3.389830508
431,Th+4,4,6p 6,12,,1.35,1.21,C,3.305785124
432,Ti+2,2,3d 2,6,,1,0.86,E,2.325581395
433,Ti+3,3,3d 1,6,,0.81,0.67,R*,4.47761194
434,Ti+4,4,3p 6,4,,0.56,0.42,C,9.523809524
435,Ti+4,4,3p 6,5,,0.65,0.51,C,7.843137255
436,Ti+4,4,3p 6,6,,0.745,0.605,R*,6.611570248
437,Ti+4,4,3p 6,8,,0.88,0.74,C,5.405405405
438,Tl+1,1,6s 2,6,,1.64,1.5,R,0.666666667
439,Tl+1,1,6s 2,8,,1.73,1.59,R,0.628930818
440,Tl+1,1,6s 2,12,,1.84,1.7,RE,0.588235294
441,Tl+3,3,5d 10,4,,0.89,0.75,,4
442,Tl+3,3,5d 10,6,,1.025,0.885,R,3.389830508
443,Tl+3,3,5d 10,8,,1.12,0.98,C,3.06122449
444,Tm+2,2,4f 13,6,,1.17,1.03,,1.941747573
445,Tm+2,2,4f 13,7,,1.23,1.09,,1.834862385
446,Tm+3,3,4f 12,6,,1.02,0.88,R,3.409090909
447,Tm+3,3,4f 12,8,,1.134,0.994,R,3.018108652
448,Tm+3,3,4f 12,9,,1.192,1.052,R,2.851711027
449,U+3,3,5f 3,6,,1.165,1.025,R,2.926829268
450,U+4,4,5f 2,6,,1.03,0.89,,4.494382022
451,U+4,4,5f 2,7,,1.09,0.95,E,4.210526316
452,U+4,4,5f 2,8,,1.14,1,R*,4
453,U+4,4,5f 2,9,,1.19,1.05,,3.80952381
454,U+4,4,5f 2,12,,1.31,1.17,E,3.418803419
455,U+5,5,5f 1,6,,0.9,0.76,,6.578947368
456,U+5,5,5f 1,7,,0.98,0.84,E,5.952380952
457,U+6,6,6p 6,2,,0.59,0.45,,13.33333333
458,U+6,6,6p 6,4,,0.66,0.52,,11.53846154
459,U+6,6,6p 6,6,,0.87,0.73,*,8.219178082
460,U+6,6,6p 6,7,,0.95,0.81,E,7.407407407
461,U+6,6,6p 6,8,,1,0.86,,6.976744186
462,V+2,2,3d 3,6,,0.93,0.79,,2.53164557
463,V+3,3,3d 2,6,,0.78,0.64,R*,4.6875
464,V+4,4,3d 1,5,,0.67,0.53,,7.547169811
465,V+4,4,3d 1,6,,0.72,0.58,R*,6.896551724
466,V+4,4,3d 1,8,,0.86,0.72,E,5.555555556
467,V+5,5,3p 6,4,,0.495,0.355,R*,14.08450704
468,V+5,5,3p 6,5,,0.6,0.46,*,10.86956522
469,V+5,5,3p 6,6,,0.68,0.54,,9.259259259
470,W+4,4,5d 2,6,,0.8,0.66,RM,6.060606061
471,W+5,5,5d 1,6,,0.76,0.62,R,8.064516129
472,W+6,6,5p 6,4,,0.56,0.42,*,14.28571429
473,W+6,6,5p 6,5,,0.65,0.51,,11.76470588
474,W+6,6,5p 6,6,,0.74,0.6,*,10
475,Xe+8,8,4d 10,4,,0.54,0.4,,20
476,Xe+8,8,4d 10,6,,0.62,0.48,,16.66666667
477,Y+3,3,4p 6,6,,1.04,0.9,R*,3.333333333
478,Y+3,3,4p 6,7,,1.1,0.96,,3.125
479,Y+3,3,4p 6,8,,1.159,1.019,R*,2.944062807
480,Y+3,3,4p 6,9,,1.215,1.075,R,2.790697674
481,Yb+2,2,4f 14,6,,1.16,1.02,,1.960784314
482,Yb+2,2,4f 14,7,,1.22,1.08,E,1.851851852
483,Yb+2,2,4f 14,8,,1.28,1.14,,1.754385965
484,Yb+3,3,4f 13,6,,1.008,0.868,R*,3.456221198
485,Yb+3,3,4f 13,7,,1.065,0.925,E,3.243243243
486,Yb+3,3,4f 13,8,,1.125,0.985,R,3.045685279
487,Yb+3,3,4f 13,9,,1.182,1.042,R,2.879078695
488,Zn+2,2,3d 10,4,,0.74,0.6,*,3.333333333
489,Zn+2,2,3d 10,5,,0.82,0.68,*,2.941176471
490,Zn+2,2,3d 10,6,,0.88,0.74,R*,2.702702703
491,Zn+2,2,3d 10,8,,1.04,0.9,C,2.222222222
492,Zr+4,4,4p 6,4,,0.73,0.59,R,6.779661017
493,Zr+4,4,4p 6,5,,0.8,0.66,C,6.060606061
494,Zr+4,4,4p 6,6,,0.86,0.72,R*,5.555555556
495,Zr+4,4,4p 6,7,,0.92,0.78,*,5.128205128
496,Zr+4,4,4p 6,8,,0.98,0.84,*,4.761904762
497,Zr+4,4,4p 6,9,,1.03,0.89,,4.494382022
498,Sn+2,2,,6,,1.29,1.15,,
ammonium,Nh+1,1,,6,,1.6,1.46,,
hydroxylammonium,Ha+1,1,,6,,2.3,2.16,,
methylammonium,Ma+1,1,,6,,2.31,2.17,,
hydrazinium,Hy+1,1,,6,,2.31,2.17,,
azetidinium,Az+1,1,,6,,2.64,2.5,,
formamidinium,Fa+1,1,,6,,2.67,2.53,,
imidazolium,Im+1,1,,6,,2.72,2.58,,
dimethylammonium,Dm+1,1,,6,,2.86,2.72,,
ethylammonium,Ea+1,1,,6,,2.88,2.74,,
guanadinium,Gu+1,1,,6,,2.92,2.78,,
tetramethylammonium,Tn+1,1,,6,,3.06,2.92,,
formate,Fo-1,1,,6,,1.5,1.36,,
