compound,A,B1,B2,X,nA,nB1,nB2,nX,rA (Ang),rB1 (Ang),rB2 (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
Cs2BaDyCl6,Cs,Ba,Dy,Cl,1,2,2,-1,1.88,1.35,1.07,1.21,1.81,0.86,4.02,1,1,0.61
Cs2BaEuCl6,Cs,Ba,Eu,Cl,1,2,2,-1,1.88,1.35,1.17,1.26,1.81,0.85,4.17,1,1,0.54
Cs2BaFeCl6,Cs,Ba,Fe,Cl,1,2,2,-1,1.88,1.35,0.78,1.065,1.81,0.91,3.81,1,1,0.7
Cs2BaGeCl6,Cs,Ba,Ge,Cl,1,2,2,-1,1.88,1.35,0.73,1.04,1.81,0.92,3.79,1,1,0.71
Cs2BaHgCl6,Cs,Ba,Hg,Cl,1,2,2,-1,1.88,1.35,1.02,1.185,1.81,0.87,3.96,1,1,0.64
Cs2BaMgCl6,Cs,Ba,Mg,Cl,1,2,2,-1,1.88,1.35,0.72,1.0350000000000001,1.81,0.92,3.79,1,1,0.71
Cs2BaMnCl6,Cs,Ba,Mn,Cl,1,2,2,-1,1.88,1.35,0.83,1.09,1.81,0.9,3.82,1,1,0.7
Cs2BaNdCl6,Cs,Ba,Nd,Cl,1,2,2,-1,1.88,1.35,1.29,1.32,1.81,0.83,4.4,1,-1,0.43
Cs2BaNiCl6,Cs,Ba,Ni,Cl,1,2,2,-1,1.88,1.35,0.69,1.02,1.81,0.92,3.79,1,1,0.71
Cs2BaNoCl6,Cs,Ba,No,Cl,1,2,2,-1,1.88,1.35,1.1,1.225,1.81,0.86,4.06,1,1,0.59
Cs2BaNpCl6,Cs,Ba,Np,Cl,1,2,2,-1,1.88,1.35,1.1,1.225,1.81,0.86,4.06,1,1,0.59
Cs2BaPbCl6,Cs,Ba,Pb,Cl,1,2,2,-1,1.88,1.35,1.19,1.27,1.81,0.85,4.2,1,-1,0.52
Cs2BaPdCl6,Cs,Ba,Pd,Cl,1,2,2,-1,1.88,1.35,0.86,1.105,1.81,0.9,3.84,1,1,0.69
Cs2BaPtCl6,Cs,Ba,Pt,Cl,1,2,2,-1,1.88,1.35,0.8,1.0750000000000002,1.81,0.9,3.81,1,1,0.7
Cs2BaRaCl6,Cs,Ba,Ra,Cl,1,2,2,-1,1.88,1.35,1.48,1.415,1.81,0.81,4.96,-1,-1,0.22
Cs2BaSmCl6,Cs,Ba,Sm,Cl,1,2,2,-1,1.88,1.35,1.22,1.2850000000000001,1.81,0.84,4.25,1,-1,0.5
Cs2BaSnCl6,Cs,Ba,Sn,Cl,1,2,2,-1,1.88,1.35,1.15,1.25,1.81,0.85,4.13,1,1,0.56
Cs2BaSrCl6,Cs,Ba,Sr,Cl,1,2,2,-1,1.88,1.35,1.18,1.2650000000000001,1.81,0.85,4.18,1,-1,0.53
Cs2BaTiCl6,Cs,Ba,Ti,Cl,1,2,2,-1,1.88,1.35,0.86,1.105,1.81,0.9,3.84,1,1,0.69
Cs2BaTmCl6,Cs,Ba,Tm,Cl,1,2,2,-1,1.88,1.35,1.03,1.19,1.81,0.87,3.98,1,1,0.63
Cs2BaVCl6,Cs,Ba,V,Cl,1,2,2,-1,1.88,1.35,0.79,1.07,1.81,0.91,3.81,1,1,0.7
Cs2BaYbCl6,Cs,Ba,Yb,Cl,1,2,2,-1,1.88,1.35,1.02,1.185,1.81,0.87,3.96,1,1,0.64
Cs2BaZnCl6,Cs,Ba,Zn,Cl,1,2,2,-1,1.88,1.35,0.74,1.045,1.81,0.91,3.8,1,1,0.71
Cs2BeCaCl6,Cs,Be,Ca,Cl,1,2,2,-1,1.88,0.45,1.0,0.725,1.81,1.03,4.22,1,-1,0.52
Cs2BeCdCl6,Cs,Be,Cd,Cl,1,2,2,-1,1.88,0.45,0.95,0.7,1.81,1.04,4.3,1,-1,0.47
Cs2BeCoCl6,Cs,Be,Co,Cl,1,2,2,-1,1.88,0.45,0.74,0.5975,1.81,1.08,4.77,-1,-1,0.28
Cs2BeCrCl6,Cs,Be,Cr,Cl,1,2,2,-1,1.88,0.45,0.8,0.625,1.81,1.07,4.63,-1,-1,0.33
Cs2BeCuCl6,Cs,Be,Cu,Cl,1,2,2,-1,1.88,0.45,0.73,0.59,1.81,1.09,4.82,-1,-1,0.26
Cs2BeDyCl6,Cs,Be,Dy,Cl,1,2,2,-1,1.88,0.45,1.07,0.76,1.81,1.02,4.11,1,1,0.57
Cs2BeEuCl6,Cs,Be,Eu,Cl,1,2,2,-1,1.88,0.45,1.17,0.8099999999999999,1.81,1.0,3.99,1,1,0.62
Cs2BeFeCl6,Cs,Be,Fe,Cl,1,2,2,-1,1.88,0.45,0.78,0.615,1.81,1.08,4.68,-1,-1,0.31
Cs2BeGeCl6,Cs,Be,Ge,Cl,1,2,2,-1,1.88,0.45,0.73,0.59,1.81,1.09,4.82,-1,-1,0.26
Cs2BeHgCl6,Cs,Be,Hg,Cl,1,2,2,-1,1.88,0.45,1.02,0.735,1.81,1.03,4.19,1,-1,0.53
Cs2BeMgCl6,Cs,Be,Mg,Cl,1,2,2,-1,1.88,0.45,0.72,0.585,1.81,1.09,4.85,-1,-1,0.25
Cs2BeMnCl6,Cs,Be,Mn,Cl,1,2,2,-1,1.88,0.45,0.83,0.64,1.81,1.06,4.55,-1,-1,0.36
Cs2BeNdCl6,Cs,Be,Nd,Cl,1,2,2,-1,1.88,0.45,1.29,0.87,1.81,0.97,3.88,1,1,0.67
Cs2BeNiCl6,Cs,Be,Ni,Cl,1,2,2,-1,1.88,0.45,0.69,0.57,1.81,1.1,4.94,-1,-1,0.22
Cs2BeNoCl6,Cs,Be,No,Cl,1,2,2,-1,1.88,0.45,1.1,0.775,1.81,1.01,4.07,1,1,0.59
Cs2BeNpCl6,Cs,Be,Np,Cl,1,2,2,-1,1.88,0.45,1.1,0.775,1.81,1.01,4.07,1,1,0.59
Cs2BePbCl6,Cs,Be,Pb,Cl,1,2,2,-1,1.88,0.45,1.19,0.82,1.81,0.99,3.97,1,1,0.63
Cs2BePdCl6,Cs,Be,Pd,Cl,1,2,2,-1,1.88,0.45,0.86,0.655,1.81,1.06,4.49,1,-1,0.39
Cs2BePtCl6,Cs,Be,Pt,Cl,1,2,2,-1,1.88,0.45,0.8,0.625,1.81,1.07,4.63,-1,-1,0.33
Cs2BeRaCl6,Cs,Be,Ra,Cl,1,2,2,-1,1.88,0.45,1.48,0.965,1.81,0.94,3.8,1,1,0.71
Cs2BeSmCl6,Cs,Be,Sm,Cl,1,2,2,-1,1.88,0.45,1.22,0.835,1.81,0.99,3.94,1,1,0.65
Cs2BeSnCl6,Cs,Be,Sn,Cl,1,2,2,-1,1.88,0.45,1.15,0.7999999999999999,1.81,1.0,4.01,1,1,0.61
Cs2BeSrCl6,Cs,Be,Sr,Cl,1,2,2,-1,1.88,0.45,1.18,0.815,1.81,0.99,3.98,1,1,0.63
Cs2BeTiCl6,Cs,Be,Ti,Cl,1,2,2,-1,1.88,0.45,0.86,0.655,1.81,1.06,4.49,1,-1,0.39
Cs2BeTmCl6,Cs,Be,Tm,Cl,1,2,2,-1,1.88,0.45,1.03,0.74,1.81,1.02,4.17,1,1,0.54
Cs2BeVCl6,Cs,Be,V,Cl,1,2,2,-1,1.88,0.45,0.79,0.62,1.81,1.07,4.65,-1,-1,0.32
Cs2BeYbCl6,Cs,Be,Yb,Cl,1,2,2,-1,1.88,0.45,1.02,0.735,1.81,1.03,4.19,1,-1,0.53
Cs2BeZnCl6,Cs,Be,Zn,Cl,1,2,2,-1,1.88,0.45,0.74,0.595,1.81,1.08,4.79,-1,-1,0.27
Cs2BiCuCl6,Cs,Bi,Cu,Cl,1,3,1,-1,1.88,1.03,0.77,0.9,1.81,0.96,3.85,1,1,0.69
Cs2BiFrCl6,Cs,Bi,Fr,Cl,1,3,1,-1,1.88,1.03,1.8,1.415,1.81,0.81,4.96,-1,-1,0.22
Cs2BiHgCl6,Cs,Bi,Hg,Cl,1,3,1,-1,1.88,1.03,1.19,1.1099999999999999,1.81,0.89,3.85,1,1,0.69
Cs2BiKCl6,Cs,Bi,K,Cl,1,3,1,-1,1.88,1.03,1.38,1.205,1.81,0.87,4.01,1,1,0.61
Cs2BiLiCl6,Cs,Bi,Li,Cl,1,3,1,-1,1.88,1.03,0.76,0.895,1.81,0.96,3.85,1,1,0.68
Cs2BiNaCl6,Cs,Bi,Na,Cl,1,3,1,-1,1.88,1.03,1.02,1.025,1.81,0.92,3.79,1,1,0.71
Cs2BiPdCl6,Cs,Bi,Pd,Cl,1,3,1,-1,1.88,1.03,0.59,0.81,1.81,1.0,3.99,1,1,0.62
Cs2BiRbCl6,Cs,Bi,Rb,Cl,1,3,1,-1,1.88,1.03,1.52,1.275,1.81,0.85,4.22,1,-1,0.52
Cs2BiTlCl6,Cs,Bi,Tl,Cl,1,3,1,-1,1.88,1.03,1.5,1.2650000000000001,1.81,0.85,4.18,1,-1,0.53
Cs2BkCuCl6,Cs,Bk,Cu,Cl,1,3,1,-1,1.88,0.96,0.77,0.865,1.81,0.98,3.89,1,1,0.67
Cs2BkFrCl6,Cs,Bk,Fr,Cl,1,3,1,-1,1.88,0.96,1.8,1.38,1.81,0.82,4.72,-1,-1,0.3
Cs2BkHgCl6,Cs,Bk,Hg,Cl,1,3,1,-1,1.88,0.96,1.19,1.075,1.81,0.9,3.81,1,1,0.7
Cs2BkKCl6,Cs,Bk,K,Cl,1,3,1,-1,1.88,0.96,1.38,1.17,1.81,0.88,3.94,1,1,0.65
Cs2BkLiCl6,Cs,Bk,Li,Cl,1,3,1,-1,1.88,0.96,0.76,0.86,1.81,0.98,3.9,1,1,0.66
Cs2BkNaCl6,Cs,Bk,Na,Cl,1,3,1,-1,1.88,0.96,1.02,0.99,1.81,0.93,3.79,1,1,0.71
Cs2BkPdCl6,Cs,Bk,Pd,Cl,1,3,1,-1,1.88,0.96,0.59,0.7749999999999999,1.81,1.01,4.07,1,1,0.59
Cs2BkRbCl6,Cs,Bk,Rb,Cl,1,3,1,-1,1.88,0.96,1.52,1.24,1.81,0.86,4.1,1,1,0.57
Cs2BkTlCl6,Cs,Bk,Tl,Cl,1,3,1,-1,1.88,0.96,1.5,1.23,1.81,0.86,4.07,1,1,0.58
Cs2BrCuCl6,Cs,Br,Cu,Cl,1,3,1,-1,1.88,0.59,0.77,0.6799999999999999,1.81,1.05,4.38,1,-1,0.44
Cs2BrFrCl6,Cs,Br,Fr,Cl,1,3,1,-1,1.88,0.59,1.8,1.195,1.81,0.87,3.99,1,1,0.63
Cs2BrHgCl6,Cs,Br,Hg,Cl,1,3,1,-1,1.88,0.59,1.19,0.8899999999999999,1.81,0.97,3.86,1,1,0.68
Cs2BrKCl6,Cs,Br,K,Cl,1,3,1,-1,1.88,0.59,1.38,0.9849999999999999,1.81,0.93,3.79,1,1,0.71
Cs2BrLiCl6,Cs,Br,Li,Cl,1,3,1,-1,1.88,0.59,0.76,0.675,1.81,1.05,4.4,1,-1,0.43
Cs2BrNaCl6,Cs,Br,Na,Cl,1,3,1,-1,1.88,0.59,1.02,0.8049999999999999,1.81,1.0,4.0,1,1,0.62
Cs2BrPdCl6,Cs,Br,Pd,Cl,1,3,1,-1,1.88,0.59,0.59,0.59,1.81,1.09,4.82,-1,-1,0.26
Cs2BrRbCl6,Cs,Br,Rb,Cl,1,3,1,-1,1.88,0.59,1.52,1.055,1.81,0.91,3.8,1,1,0.71
Cs2BrTlCl6,Cs,Br,Tl,Cl,1,3,1,-1,1.88,0.59,1.5,1.045,1.81,0.91,3.8,1,1,0.71
Cs2CaCdCl6,Cs,Ca,Cd,Cl,1,2,2,-1,1.88,1.0,0.95,0.975,1.81,0.94,3.79,1,1,0.71
Cs2CaCoCl6,Cs,Ca,Co,Cl,1,2,2,-1,1.88,1.0,0.74,0.8725,1.81,0.97,3.88,1,1,0.67
Cs2CaCrCl6,Cs,Ca,Cr,Cl,1,2,2,-1,1.88,1.0,0.8,0.9,1.81,0.96,3.85,1,1,0.69
Cs2CaCuCl6,Cs,Ca,Cu,Cl,1,2,2,-1,1.88,1.0,0.73,0.865,1.81,0.98,3.89,1,1,0.67
Cs2CaDyCl6,Cs,Ca,Dy,Cl,1,2,2,-1,1.88,1.0,1.07,1.0350000000000001,1.81,0.92,3.79,1,1,0.71
Cs2CaEuCl6,Cs,Ca,Eu,Cl,1,2,2,-1,1.88,1.0,1.17,1.085,1.81,0.9,3.82,1,1,0.7
Cs2CaFeCl6,Cs,Ca,Fe,Cl,1,2,2,-1,1.88,1.0,0.78,0.89,1.81,0.97,3.86,1,1,0.68
Cs2CaGeCl6,Cs,Ca,Ge,Cl,1,2,2,-1,1.88,1.0,0.73,0.865,1.81,0.98,3.89,1,1,0.67
Cs2CaHgCl6,Cs,Ca,Hg,Cl,1,2,2,-1,1.88,1.0,1.02,1.01,1.81,0.93,3.79,1,1,0.71
Cs2CaMgCl6,Cs,Ca,Mg,Cl,1,2,2,-1,1.88,1.0,0.72,0.86,1.81,0.98,3.9,1,1,0.66
Cs2CaMnCl6,Cs,Ca,Mn,Cl,1,2,2,-1,1.88,1.0,0.83,0.915,1.81,0.96,3.83,1,1,0.69
Cs2CaNdCl6,Cs,Ca,Nd,Cl,1,2,2,-1,1.88,1.0,1.29,1.145,1.81,0.88,3.89,1,1,0.67
Cs2CaNiCl6,Cs,Ca,Ni,Cl,1,2,2,-1,1.88,1.0,0.69,0.845,1.81,0.98,3.92,1,1,0.65
Cs2CaNoCl6,Cs,Ca,No,Cl,1,2,2,-1,1.88,1.0,1.1,1.05,1.81,0.91,3.8,1,1,0.71
Cs2CaNpCl6,Cs,Ca,Np,Cl,1,2,2,-1,1.88,1.0,1.1,1.05,1.81,0.91,3.8,1,1,0.71
Cs2CaPbCl6,Cs,Ca,Pb,Cl,1,2,2,-1,1.88,1.0,1.19,1.095,1.81,0.9,3.83,1,1,0.69
Cs2CaPdCl6,Cs,Ca,Pd,Cl,1,2,2,-1,1.88,1.0,0.86,0.9299999999999999,1.81,0.95,3.82,1,1,0.7
Cs2CaPtCl6,Cs,Ca,Pt,Cl,1,2,2,-1,1.88,1.0,0.8,0.9,1.81,0.96,3.85,1,1,0.69
Cs2CaRaCl6,Cs,Ca,Ra,Cl,1,2,2,-1,1.88,1.0,1.48,1.24,1.81,0.86,4.1,1,1,0.57
Cs2CaSmCl6,Cs,Ca,Sm,Cl,1,2,2,-1,1.88,1.0,1.22,1.1099999999999999,1.81,0.89,3.85,1,1,0.69
Cs2CaSnCl6,Cs,Ca,Sn,Cl,1,2,2,-1,1.88,1.0,1.15,1.075,1.81,0.9,3.81,1,1,0.7
Cs2CaSrCl6,Cs,Ca,Sr,Cl,1,2,2,-1,1.88,1.0,1.18,1.0899999999999999,1.81,0.9,3.82,1,1,0.7
Cs2CaTiCl6,Cs,Ca,Ti,Cl,1,2,2,-1,1.88,1.0,0.86,0.9299999999999999,1.81,0.95,3.82,1,1,0.7
Cs2CaTmCl6,Cs,Ca,Tm,Cl,1,2,2,-1,1.88,1.0,1.03,1.0150000000000001,1.81,0.92,3.79,1,1,0.71
Cs2CaVCl6,Cs,Ca,V,Cl,1,2,2,-1,1.88,1.0,0.79,0.895,1.81,0.96,3.85,1,1,0.68
Cs2CaYbCl6,Cs,Ca,Yb,Cl,1,2,2,-1,1.88,1.0,1.02,1.01,1.81,0.93,3.79,1,1,0.71
Cs2CaZnCl6,Cs,Ca,Zn,Cl,1,2,2,-1,1.88,1.0,0.74,0.87,1.81,0.97,3.88,1,1,0.67
Cs2CdCoCl6,Cs,Cd,Co,Cl,1,2,2,-1,1.88,0.95,0.74,0.8474999999999999,1.81,0.98,3.92,1,1,0.66
Cs2CdCrCl6,Cs,Cd,Cr,Cl,1,2,2,-1,1.88,0.95,0.8,0.875,1.81,0.97,3.88,1,1,0.67
Cs2CdCuCl6,Cs,Cd,Cu,Cl,1,2,2,-1,1.88,0.95,0.73,0.84,1.81,0.98,3.93,1,1,0.65
Cs2CdDyCl6,Cs,Cd,Dy,Cl,1,2,2,-1,1.88,0.95,1.07,1.01,1.81,0.93,3.79,1,1,0.71
Cs2CdEuCl6,Cs,Cd,Eu,Cl,1,2,2,-1,1.88,0.95,1.17,1.06,1.81,0.91,3.8,1,1,0.7
Cs2CdFeCl6,Cs,Cd,Fe,Cl,1,2,2,-1,1.88,0.95,0.78,0.865,1.81,0.98,3.89,1,1,0.67
Cs2CdGeCl6,Cs,Cd,Ge,Cl,1,2,2,-1,1.88,0.95,0.73,0.84,1.81,0.98,3.93,1,1,0.65
Cs2CdHgCl6,Cs,Cd,Hg,Cl,1,2,2,-1,1.88,0.95,1.02,0.985,1.81,0.93,3.79,1,1,0.71
Cs2CdMgCl6,Cs,Cd,Mg,Cl,1,2,2,-1,1.88,0.95,0.72,0.835,1.81,0.99,3.94,1,1,0.65
Cs2CdMnCl6,Cs,Cd,Mn,Cl,1,2,2,-1,1.88,0.95,0.83,0.8899999999999999,1.81,0.97,3.86,1,1,0.68
Cs2CdNdCl6,Cs,Cd,Nd,Cl,1,2,2,-1,1.88,0.95,1.29,1.12,1.81,0.89,3.86,1,1,0.68
Cs2CdNiCl6,Cs,Cd,Ni,Cl,1,2,2,-1,1.88,0.95,0.69,0.82,1.81,0.99,3.97,1,1,0.63
Cs2CdNoCl6,Cs,Cd,No,Cl,1,2,2,-1,1.88,0.95,1.1,1.025,1.81,0.92,3.79,1,1,0.71
Cs2CdNpCl6,Cs,Cd,Np,Cl,1,2,2,-1,1.88,0.95,1.1,1.025,1.81,0.92,3.79,1,1,0.71
Cs2CdPbCl6,Cs,Cd,Pb,Cl,1,2,2,-1,1.88,0.95,1.19,1.0699999999999998,1.81,0.91,3.81,1,1,0.7
Cs2CdPdCl6,Cs,Cd,Pd,Cl,1,2,2,-1,1.88,0.95,0.86,0.905,1.81,0.96,3.84,1,1,0.69
Cs2CdPtCl6,Cs,Cd,Pt,Cl,1,2,2,-1,1.88,0.95,0.8,0.875,1.81,0.97,3.88,1,1,0.67
Cs2CdRaCl6,Cs,Cd,Ra,Cl,1,2,2,-1,1.88,0.95,1.48,1.2149999999999999,1.81,0.86,4.03,1,1,0.6
Cs2CdSmCl6,Cs,Cd,Sm,Cl,1,2,2,-1,1.88,0.95,1.22,1.085,1.81,0.9,3.82,1,1,0.7
Cs2CdSnCl6,Cs,Cd,Sn,Cl,1,2,2,-1,1.88,0.95,1.15,1.0499999999999998,1.81,0.91,3.8,1,1,0.71
Cs2CdSrCl6,Cs,Cd,Sr,Cl,1,2,2,-1,1.88,0.95,1.18,1.065,1.81,0.91,3.81,1,1,0.7
Cs2CdTiCl6,Cs,Cd,Ti,Cl,1,2,2,-1,1.88,0.95,0.86,0.905,1.81,0.96,3.84,1,1,0.69
Cs2CdTmCl6,Cs,Cd,Tm,Cl,1,2,2,-1,1.88,0.95,1.03,0.99,1.81,0.93,3.79,1,1,0.71
Cs2CdVCl6,Cs,Cd,V,Cl,1,2,2,-1,1.88,0.95,0.79,0.87,1.81,0.97,3.88,1,1,0.67
Cs2CdYbCl6,Cs,Cd,Yb,Cl,1,2,2,-1,1.88,0.95,1.02,0.985,1.81,0.93,3.79,1,1,0.71
Cs2CdZnCl6,Cs,Cd,Zn,Cl,1,2,2,-1,1.88,0.95,0.74,0.845,1.81,0.98,3.92,1,1,0.65
Cs2CeCuCl6,Cs,Ce,Cu,Cl,1,3,1,-1,1.88,1.01,0.77,0.89,1.81,0.97,3.86,1,1,0.68
Cs2CeFrCl6,Cs,Ce,Fr,Cl,1,3,1,-1,1.88,1.01,1.8,1.405,1.81,0.81,4.88,-1,-1,0.24
Cs2CeHgCl6,Cs,Ce,Hg,Cl,1,3,1,-1,1.88,1.01,1.19,1.1,1.81,0.9,3.83,1,1,0.69
Cs2CeKCl6,Cs,Ce,K,Cl,1,3,1,-1,1.88,1.01,1.38,1.1949999999999998,1.81,0.87,3.99,1,1,0.63
Cs2CeLiCl6,Cs,Ce,Li,Cl,1,3,1,-1,1.88,1.01,0.76,0.885,1.81,0.97,3.86,1,1,0.68
Cs2CeNaCl6,Cs,Ce,Na,Cl,1,3,1,-1,1.88,1.01,1.02,1.0150000000000001,1.81,0.92,3.79,1,1,0.71
Cs2CePdCl6,Cs,Ce,Pd,Cl,1,3,1,-1,1.88,1.01,0.59,0.8,1.81,1.0,4.01,1,1,0.61
Cs2CeRbCl6,Cs,Ce,Rb,Cl,1,3,1,-1,1.88,1.01,1.52,1.2650000000000001,1.81,0.85,4.18,1,-1,0.53
Cs2CeTlCl6,Cs,Ce,Tl,Cl,1,3,1,-1,1.88,1.01,1.5,1.255,1.81,0.85,4.15,1,1,0.55
Cs2CfCuCl6,Cs,Cf,Cu,Cl,1,3,1,-1,1.88,0.95,0.77,0.86,1.81,0.98,3.9,1,1,0.66
Cs2CfFrCl6,Cs,Cf,Fr,Cl,1,3,1,-1,1.88,0.95,1.8,1.375,1.81,0.82,4.69,-1,-1,0.31
Cs2CfHgCl6,Cs,Cf,Hg,Cl,1,3,1,-1,1.88,0.95,1.19,1.0699999999999998,1.81,0.91,3.81,1,1,0.7
Cs2CfKCl6,Cs,Cf,K,Cl,1,3,1,-1,1.88,0.95,1.38,1.165,1.81,0.88,3.93,1,1,0.65
Cs2CfLiCl6,Cs,Cf,Li,Cl,1,3,1,-1,1.88,0.95,0.76,0.855,1.81,0.98,3.91,1,1,0.66
Cs2CfNaCl6,Cs,Cf,Na,Cl,1,3,1,-1,1.88,0.95,1.02,0.985,1.81,0.93,3.79,1,1,0.71
Cs2CfPdCl6,Cs,Cf,Pd,Cl,1,3,1,-1,1.88,0.95,0.59,0.77,1.81,1.01,4.09,1,1,0.58
Cs2CfRbCl6,Cs,Cf,Rb,Cl,1,3,1,-1,1.88,0.95,1.52,1.2349999999999999,1.81,0.86,4.09,1,1,0.58
Cs2CfTlCl6,Cs,Cf,Tl,Cl,1,3,1,-1,1.88,0.95,1.5,1.225,1.81,0.86,4.06,1,1,0.59
Cs2CmCuCl6,Cs,Cm,Cu,Cl,1,3,1,-1,1.88,0.97,0.77,0.87,1.81,0.97,3.88,1,1,0.67
Cs2CmFrCl6,Cs,Cm,Fr,Cl,1,3,1,-1,1.88,0.97,1.8,1.385,1.81,0.82,4.75,-1,-1,0.28
Cs2CmHgCl6,Cs,Cm,Hg,Cl,1,3,1,-1,1.88,0.97,1.19,1.08,1.81,0.9,3.82,1,1,0.7
Cs2CmKCl6,Cs,Cm,K,Cl,1,3,1,-1,1.88,0.97,1.38,1.1749999999999998,1.81,0.87,3.94,1,1,0.64
Cs2CmLiCl6,Cs,Cm,Li,Cl,1,3,1,-1,1.88,0.97,0.76,0.865,1.81,0.98,3.89,1,1,0.67
Cs2CmNaCl6,Cs,Cm,Na,Cl,1,3,1,-1,1.88,0.97,1.02,0.995,1.81,0.93,3.79,1,1,0.71
Cs2CmPdCl6,Cs,Cm,Pd,Cl,1,3,1,-1,1.88,0.97,0.59,0.78,1.81,1.01,4.06,1,1,0.59
Cs2CmRbCl6,Cs,Cm,Rb,Cl,1,3,1,-1,1.88,0.97,1.52,1.245,1.81,0.85,4.12,1,1,0.56
Cs2CmTlCl6,Cs,Cm,Tl,Cl,1,3,1,-1,1.88,0.97,1.5,1.2349999999999999,1.81,0.86,4.09,1,1,0.58
Cs2CoCrCl6,Cs,Co,Cr,Cl,1,2,2,-1,1.88,0.74,0.8,0.7725,1.81,1.01,4.08,1,1,0.58
Cs2CoCuCl6,Cs,Co,Cu,Cl,1,2,2,-1,1.88,0.74,0.73,0.7375,1.81,1.02,4.18,1,1,0.53
Cs2CoDyCl6,Cs,Co,Dy,Cl,1,2,2,-1,1.88,0.74,1.07,0.9075,1.81,0.96,3.84,1,1,0.69
Cs2CoEuCl6,Cs,Co,Eu,Cl,1,2,2,-1,1.88,0.74,1.17,0.9575,1.81,0.94,3.8,1,1,0.71
Cs2CoFeCl6,Cs,Co,Fe,Cl,1,2,2,-1,1.88,0.74,0.78,0.7625,1.81,1.01,4.11,1,1,0.57
Cs2CoFrCl6,Cs,Co,Fr,Cl,1,3,1,-1,1.88,0.61,1.8,1.205,1.81,0.87,4.01,1,1,0.61
Cs2CoGeCl6,Cs,Co,Ge,Cl,1,2,2,-1,1.88,0.74,0.73,0.7375,1.81,1.02,4.18,1,1,0.53
Cs2CoHgCl6,Cs,Co,Hg,Cl,1,2,2,-1,1.88,0.74,1.02,0.8825000000000001,1.81,0.97,3.87,1,1,0.68
Cs2CoKCl6,Cs,Co,K,Cl,1,3,1,-1,1.88,0.61,1.38,0.9949999999999999,1.81,0.93,3.79,1,1,0.71
Cs2CoLiCl6,Cs,Co,Li,Cl,1,3,1,-1,1.88,0.61,0.76,0.685,1.81,1.05,4.36,1,-1,0.45
Cs2CoMgCl6,Cs,Co,Mg,Cl,1,2,2,-1,1.88,0.74,0.72,0.7324999999999999,1.81,1.03,4.19,1,-1,0.53
Cs2CoMnCl6,Cs,Co,Mn,Cl,1,2,2,-1,1.88,0.74,0.83,0.7875,1.81,1.0,4.04,1,1,0.6
Cs2CoNaCl6,Cs,Co,Na,Cl,1,3,1,-1,1.88,0.61,1.02,0.815,1.81,0.99,3.98,1,1,0.63
Cs2CoNdCl6,Cs,Co,Nd,Cl,1,2,2,-1,1.88,0.74,1.29,1.0175,1.81,0.92,3.79,1,1,0.71
Cs2CoNiCl6,Cs,Co,Ni,Cl,1,2,2,-1,1.88,0.74,0.69,0.7175,1.81,1.03,4.24,1,-1,0.5
Cs2CoNoCl6,Cs,Co,No,Cl,1,2,2,-1,1.88,0.74,1.1,0.9225000000000001,1.81,0.95,3.82,1,1,0.7
Cs2CoNpCl6,Cs,Co,Np,Cl,1,2,2,-1,1.88,0.74,1.1,0.9225000000000001,1.81,0.95,3.82,1,1,0.7
Cs2CoPbCl6,Cs,Co,Pb,Cl,1,2,2,-1,1.88,0.74,1.19,0.9675,1.81,0.94,3.8,1,1,0.71
Cs2CoPdCl6,Cs,Co,Pd,Cl,1,3,1,-1,1.88,0.61,0.59,0.6,1.81,1.08,4.76,-1,-1,0.28
Cs2CoPtCl6,Cs,Co,Pt,Cl,1,2,2,-1,1.88,0.74,0.8,0.7725,1.81,1.01,4.08,1,1,0.58
Cs2CoRaCl6,Cs,Co,Ra,Cl,1,2,2,-1,1.88,0.74,1.48,1.1125,1.81,0.89,3.85,1,1,0.69
Cs2CoRbCl6,Cs,Co,Rb,Cl,1,3,1,-1,1.88,0.61,1.52,1.065,1.81,0.91,3.81,1,1,0.7
Cs2CoSmCl6,Cs,Co,Sm,Cl,1,2,2,-1,1.88,0.74,1.22,0.9824999999999999,1.81,0.93,3.79,1,1,0.71
Cs2CoSnCl6,Cs,Co,Sn,Cl,1,2,2,-1,1.88,0.74,1.15,0.9475,1.81,0.95,3.81,1,1,0.7
Cs2CoSrCl6,Cs,Co,Sr,Cl,1,2,2,-1,1.88,0.74,1.18,0.9624999999999999,1.81,0.94,3.8,1,1,0.71
Cs2CoTiCl6,Cs,Co,Ti,Cl,1,2,2,-1,1.88,0.74,0.86,0.8025,1.81,1.0,4.01,1,1,0.62
Cs2CoTlCl6,Cs,Co,Tl,Cl,1,3,1,-1,1.88,0.61,1.5,1.055,1.81,0.91,3.8,1,1,0.71
Cs2CoTmCl6,Cs,Co,Tm,Cl,1,2,2,-1,1.88,0.74,1.03,0.8875,1.81,0.97,3.86,1,1,0.68
Cs2CoVCl6,Cs,Co,V,Cl,1,2,2,-1,1.88,0.74,0.79,0.7675000000000001,1.81,1.01,4.09,1,1,0.58
Cs2CoYbCl6,Cs,Co,Yb,Cl,1,2,2,-1,1.88,0.74,1.02,0.8825000000000001,1.81,0.97,3.87,1,1,0.68
